BusID,GroupID,Permit,VehicleType,YearAcquired,RouteDesignation
JAB 1111,A,SIN,City Bus,2018,CW1
JAB 2222,A,SIN,City Bus,2018,CW1
JAB 3333,A,MY,Express,2019,CW3
JAC 1234,B,MY,School,2020,CW4
JAC 2345,C,MY,Coach,2021,CW2
JAC 3456,C,SIN,City Bus,2021,CW5
JAD 4567,D,MY,Mini Bus,2022,CW6
JAE 5678,E,SIN,Double Decker,2023,CW7
JAF 6789,F,MY,Express,2017,CW3
JBG 0123,A,SIN,School,2016,CW4
JBH 1234,B,MY,City Bus,2024,CW2
JBI 2345,C,SIN,Coach,2019,CW5
JBJ 3456,D,MY,Mini Bus,2020,CW6
JBK 4567,E,SIN,Double Decker,2021,CW7
JBL 5678,F,MY,Express,2022,CW1
JBM 6789,A,SIN,School,2023,CW3
JBN 0123,B,MY,City Bus,2024,CW4
JBO 1234,C,SIN,Coach,2017,CW2
JBP 2345,D,MY,Mini Bus,2018,CW5
JBQ 3456,E,SIN,Double Decker,2019,CW6
JBR 4567,F,MY,Express,2020,CW7
JBS 5678,A,SIN,School,2021,CW1
JBT 6789,B,MY,City Bus,2022,CW3
JBU 0123,C,SIN,Coach,2023,CW4
JBV 1234,D,MY,Mini Bus,2024,CW2
JBW 2345,E,SIN,Double Decker,2016,CW5
JBX 3456,F,MY,Express,2017,CW6
JBY 4567,A,SIN,School,2018,CW7
JBZ 5678,B,MY,City Bus,2019,CW1
JCA 6789,C,SIN,Coach,2020,CW3
JCB 0123,D,MY,Mini Bus,2021,CW4
JCC 1234,E,SIN,Double Decker,2022,CW2
JCD 2345,F,MY,Express,2023,CW5
JCE 3456,A,SIN,School,2024,CW6
JCF 4567,B,MY,City Bus,2016,CW7
JCG 5678,C,SIN,Coach,2017,CW1
JCH 6789,D,MY,Mini Bus,2018,CW3
JCI 0123,E,SIN,Double Decker,2019,CW4
JCJ 1234,F,MY,Express,2020,CW2
JCK 2345,A,SIN,School,2021,CW5
JCL 3456,B,MY,City Bus,2022,CW6
JCM 4567,C,SIN,Coach,2023,CW7
JCN 5678,D,MY,Mini Bus,2024,CW1
JCO 6789,E,SIN,Double Decker,2016,CW3
JCP 0123,F,MY,Express,2017,CW4
JCQ 1234,A,SIN,School,2018,CW2
JCR 2345,B,MY,City Bus,2019,CW5
JCS 3456,C,SIN,Coach,2020,CW6
JCT 4567,D,MY,Mini Bus,2021,CW7
JCU 5678,E,SIN,Double Decker,2022,CW1
JCV 6789,F,MY,Express,2023,CW3
JCW 0123,A,SIN,School,2024,CW4
JCX 1234,B,MY,City Bus,2016,CW2
JCY 2345,C,SIN,Coach,2017,CW5
JCZ 3456,D,MY,Mini Bus,2018,CW6
JDA 4567,E,SIN,Double Decker,2019,CW7
JDB 5678,F,MY,Express,2020,CW1
JDC 6789,A,SIN,School,2021,CW3
JDD 0123,B,MY,City Bus,2022,CW4
JDE 1234,C,SIN,Coach,2023,CW2
JDF 2345,D,MY,Mini Bus,2024,CW5
JDG 3456,E,SIN,Double Decker,2016,CW6
JDH 4567,F,MY,Express,2017,CW7
JDI 5678,A,SIN,School,2018,CW1
JDJ 6789,B,MY,City Bus,2019,CW3
